bar,308,1,1,1,1,0,0
beer,154,1,1,1,1,0,1
happy hour,114,1,1,1,1,0,0
pool table,61,1,1,1,1,0,0
douchebag,60,2,1,1,0,1,0
sports bar,60,1,2,0,0,0,0
brooklyn,56,0,0,2,1,0,0
restaurant,55,0,0,0,0,0,0
cocktails,50,0,0,0,0,1,1
food,49,1,1,0,0,0,0
brunch,47,0,0,0,0,0,0
hipsters,46,0,0,2,1,0,0
pub,46,1,1,0,0,0,0
socialite,45,0,0,0,0,2,2
frat boys,43,2,1,0,0,0,0
jukebox,43,1,0,0,1,0,1
live music,43,0,0,1,0,1,2
photobooth,43,0,1,0,0,0,0
lounge,42,0,0,1,0,1,0
bravo,38,1,0,0,0,1,1
burgers,38,1,0,0,0,0,0
douchebags,37,2,1,0,0,0,0
music,37,0,0,0,0,1,2
sports,37,1,2,0,0,0,0
timeoutny,37,0,0,0,0,0,0
dancing,36,0,0,0,0,1,3
college,34,2,1,0,1,0,0
craft beer,34,1,0,1,0,0,0
drinks,34,0,0,0,0,0,0
dj,33,0,0,0,0,1,1
trendy,32,1,0,0,1,2,2
gay,29,0,0,1,0,0,1
karaoke,29,1,0,0,0,0,1
gossip girl,28,0,0,0,0,2,2
rooftop,28,0,0,0,0,1,1
wine,28,0,0,0,0,1,0
pool,27,0,0,0,0,1,0
club,26,1,0,0,0,1,2
dive bar,25,0,0,1,2,0,0
darts,24,1,1,1,1,0,0
big buck hunter,22,1,1,0,0,0,0
patio,22,1,0,0,0,1,0
pinball,22,1,1,0,0,0,0
dinner,20,0,0,0,0,0,0
dive,19,0,0,0,0,0,0
frat boy,19,2,1,0,0,0,0
irish,19,1,1,0,0,0,0
lunch,19,0,0,0,0,0,0
manhattan,19,0,0,0,0,1,1
nightclub,19,0,0,0,0,1,1
wings,19,1,1,0,0,0,0
alcohol,18,0,0,0,0,0,0
cheap beer,18,1,1,1,1,0,0
gallery,18,0,0,0,0,1,0
outdoor seating,18,0,0,0,0,0,0
trivia,17,1,1,0,0,0,0
bar food,16,1,1,0,0,0,0
world cup,16,1,2,0,0,0,0
bravoandy,15,0,0,0,0,0,0
pizza,15,0,0,0,0,0,0
rugby,15,1,2,0,0,0,0
good_mark,14,0,0,0,0,0,0
irish pub,14,1,1,0,0,0,0
zagat-rated,14,0,0,0,0,0,0
gay bar,13,0,0,1,0,0,1
nyc,13,0,0,0,0,0,0
photo booth,13,0,0,0,0,0,0
soccer,13,1,2,1,0,0,0
tony,13,0,0,0,0,0,0
whiskey,13,1,0,0,0,0,0
backyard,12,0,0,0,0,0,0
bbq,12,1,1,0,0,0,0
beer pong,12,2,1,0,0,0,0
fireplace,12,0,0,0,0,0,0
pbr,12,0,0,2,1,0,0
bridge and tunnel,11,1,0,0,0,0,0
cheap drinks,11,0,0,1,1,0,0
hipster,11,0,0,1,1,0,0
music venue,11,0,0,0,0,1,1
puma social hot spot,11,0,0,0,0,0,0
theater,11,0,0,0,0,0,0
vip,11,0,0,0,0,2,1
bbc america,10,0,0,0,0,0,0
